"product_handle","attribute_name","attribute_value"
"cascade-rain-shell-mens","material","100% recycled nylon ripstop (2.5L laminate)"
"cascade-rain-shell-mens","weight","11.6 oz"
"cascade-rain-shell-mens","waterproof_rating","15000 mm"
"cascade-rain-shell-mens","breathability","15000 g/m²/24h "
"cascade-rain-shell-mens","color_options","Slate, Fir Green"
"cascade-rain-shell-mens","warranty","Limited lifetime"
"cascade-rain-shell-womens","material","100% recycled nylon ripstop (PFAS-free DWR)"
"cascade-rain-shell-womens","weight","10.9 ounces"
"cascade-rain-shell-womens","waterproof_rating","15K mm"
"cascade-rain-shell-womens","hood","helmet-compatible, 3-point adjustment"
"cascade-rain-shell-womens","color_options","Deep Teal, Cinder"
"cascade-rain-shell-womens","warranty","Limited lifetime "
"timberline-fleece-pullover-mens","material","100% recycled polyester fleece"
"timberline-fleece-pullover-mens","weight","13.4 oz"
"timberline-fleece-pullover-mens","color_options","Charcoal Heather, River Blue"
"timberline-fleece-pullover-mens","care","Machine wash cold, tumble dry low"
"timberline-fleece-pullover-mens","warranty","1 year"
"timberline-fleece-pullover-womens","material","100% recycled polyester fleece"
"timberline-fleece-pullover-womens","weight","12.7 oz"
"timberline-fleece-pullover-womens","color_options","Oat Heather, Evergreen"
"timberline-fleece-pullover-womens","fit","regular"
"timberline-fleece-pullover-womens","warranty","1-year limited"
"evergreen-merino-base-top-mens","material","87% merino wool / 13% nylon"
"evergreen-merino-base-top-mens","weight","7.8 oz"
"evergreen-merino-base-top-mens","odor_control","natural merino"
"evergreen-merino-base-top-mens","color_options","Black, Heather Gray"
"evergreen-merino-base-top-mens","warranty","1 year"
"evergreen-merino-base-top-womens","material","87% merino wool / 13% nylon"
"evergreen-merino-base-top-womens","weight","7.1 ounces"
"evergreen-merino-base-top-womens","odor_control","natural merino "
"evergreen-merino-base-top-womens","color_options","Black, Heather Gray"
"evergreen-merino-base-top-womens","warranty","1 year"
"ridgeline-hiking-socks-crew","material","55% merino wool / 40% nylon / 5% elastane"
"ridgeline-hiking-socks-crew","weight","2.5 oz/pair"
"ridgeline-hiking-socks-crew","cushion","medium"
"ridgeline-hiking-socks-crew","warranty",""
"ridgeline-hiking-socks-quarter","material","52% merino wool / 43% nylon / 5% elastane"
"ridgeline-hiking-socks-quarter","weight","2.3 ounces per pair"
"ridgeline-hiking-socks-quarter","cushion","light"
"ridgeline-hiking-socks-quarter","warranty",""
"high-trail-trucker-hat","material","cotton twill / polyester mesh"
"high-trail-trucker-hat","weight","3.2 oz"
"high-trail-trucker-hat","color_options","Navy, Khaki"
"high-trail-trucker-hat","adjustment","snapback"
"high-trail-trucker-hat","UV_protection",""
"ridgeview-beanie","material","100% recycled acrylic"
"ridgeview-beanie","weight","3.9 oz"
"ridgeview-beanie","color_options","Charcoal, Canyon"
"ridgeview-beanie","warranty",""
"cascadelite-down-vest","material","Recycled nylon shell; 650-fill RDS down"
"cascadelite-down-vest","weight","10.2 oz "
"cascadelite-down-vest","color_options","Canyon, Midnight"
"cascadelite-down-vest","packed_size","7 x 4 in"
"cascadelite-down-vest","warranty","Limited lifetime"
"granite-softshell-pants","material","90% nylon / 10% elastane (DWR)"
"granite-softshell-pants","weight","15.9 oz"
"granite-softshell-pants","color_options","Graphite, Dark Olive"
"granite-softshell-pants","inseam","32 in"
"granite-softshell-pants","warranty","1 year "
"cedar-ridge-45l-trek-pack","material","210D recycled nylon with PFAS-free DWR"
"cedar-ridge-45l-trek-pack","weight","3.5 lb"
"cedar-ridge-45l-trek-pack","dimensions","27 x 13 x 9 in"
"cedar-ridge-45l-trek-pack","capacity","45 L"
"cedar-ridge-45l-trek-pack","frame_type","internal frame"
"cedar-ridge-45l-trek-pack","color_options","Basalt, Forest"
"cedar-ridge-45l-trek-pack","warranty","Limited lifetime"
"cedar-ridge-25l-daypack","material","recycled nylon"
"cedar-ridge-25l-daypack","weight","2.0 lb"
"cedar-ridge-25l-daypack","dimensions","20 x 11 x 8 inches"
"cedar-ridge-25l-daypack","capacity","25 liters"
"cedar-ridge-25l-daypack","hydration_compatible","Yes (2L reservoir)"
"cedar-ridge-25l-daypack","color_options","Basalt, Sunset"
"cedar-ridge-25l-daypack","warranty","Limited lifetime"
"alpine-meadow-2p-tent","material","20D ripstop nylon fly; 40D floor"
"alpine-meadow-2p-tent","weight","5.1 lb"
"alpine-meadow-2p-tent","dimensions","88 x 52 in (floor)"
"alpine-meadow-2p-tent","packed_size","19 x 6 in"
"alpine-meadow-2p-tent","waterproof_rating","1500mm fly / 3000mm floor"
"alpine-meadow-2p-tent","warranty","2 years"
"basecamp-pines-3p-tent","material","68D polyester fly; 150D floor"
"basecamp-pines-3p-tent","weight","11.5 lb"
"basecamp-pines-3p-tent","dimensions","90 x 72 inches (floor)"
"basecamp-pines-3p-tent","packed_size","25 x 9 in "
"basecamp-pines-3p-tent","waterproof_rating","2000 mm"
"basecamp-pines-3p-tent","warranty","2 years"
"frostline-20f-down-sleeping-bag","material","20D recycled nylon shell; 650-fill down"
"frostline-20f-down-sleeping-bag","weight","2.5 lb (Reg), 2.8 lb (Long)"
"frostline-20f-down-sleeping-bag","temperature_rating","20°F"
"frostline-20f-down-sleeping-bag","packed_size","8 x 15 in"
"frostline-20f-down-sleeping-bag","warranty","2 years"
"drift-40f-synthetic-sleeping-bag","material","polyester shell; synthetic insulation"
"drift-40f-synthetic-sleeping-bag","weight","3.0 lb (Reg), 3.2 lb (Long)"
"drift-40f-synthetic-sleeping-bag","temperature_rating","40 F"
"drift-40f-synthetic-sleeping-bag","packed_size","9 x 16 inches"
"drift-40f-synthetic-sleeping-bag","warranty","2 years"
"trailmark-trekking-poles","material","7075 aluminum; cork grips"
"trailmark-trekking-poles","weight","19 oz/pair"
"trailmark-trekking-poles","dimensions","collapsed: 25 in; extended: 53 in"
"trailmark-trekking-poles","warranty","1 year"
"campfire-lounge-chair","material","steel frame / 600D polyester"
"campfire-lounge-chair","weight","3.6 lb"
"campfire-lounge-chair","dimensions","24 x 22 x 34 in"
"campfire-lounge-chair","packed_size",""
"campfire-lounge-chair","warranty","1 year"
"pineview-hammock","material","ripstop nylon"
"pineview-hammock","weight","18 ounces"
"pineview-hammock","dimensions","9 ft x 4.5 ft"
"pineview-hammock","capacity","400 lb max"
"pineview-hammock","warranty","1 year"
"nightfall-350-headlamp","material","ABS housing; silicone strap"
"nightfall-350-headlamp","weight","3.9 oz (with batteries)"
"nightfall-350-headlamp","brightness","350 lumens"
"nightfall-350-headlamp","water_rating","IPX4"
"nightfall-350-headlamp","warranty",""
"glacier-32oz-insulated-bottle","material","18/8 stainless steel"
"glacier-32oz-insulated-bottle","weight","14.8 oz"
"glacier-32oz-insulated-bottle","capacity","32 oz"
"glacier-32oz-insulated-bottle","dimensions","10.8 x 3.5 in"
"glacier-32oz-insulated-bottle","color_options","Stone, Spruce, Sunset"
"glacier-32oz-insulated-bottle","warranty","Limited lifetime"
"trail-sip-20oz-flask","material","stainless steel"
"trail-sip-20oz-flask","weight","7.4 ounces"
"trail-sip-20oz-flask","capacity","20oz"
"trail-sip-20oz-flask","dimensions",""
"trail-sip-20oz-flask","warranty",""
"sunshield-spf-50-mineral-sunscreen","material","mineral zinc oxide sunscreen"
"sunshield-spf-50-mineral-sunscreen","weight","3.0 oz tube"
"sunshield-spf-50-mineral-sunscreen","UV_protection","SPF 50, broad spectrum"
"sunshield-spf-50-mineral-sunscreen","water_resistance","80 minutes"
"sunshield-spf-50-mineral-sunscreen","warranty",""
"riverbend-polarized-sunglasses","material","TR90 frame; polarized lenses"
"riverbend-polarized-sunglasses","weight","1.1 oz"
"riverbend-polarized-sunglasses","UV_protection","UV400"
"riverbend-polarized-sunglasses","lens","polarized"
"riverbend-polarized-sunglasses","warranty","1 year"
"quickdry-camp-towel","material","recycled microfiber"
"quickdry-camp-towel","weight","Small: 5 oz; Large: 9 oz"
"quickdry-camp-towel","dimensions","Small 12 x 24 in; Large 30 x 60 in"
"quickdry-camp-towel","packed_size","Small 4x2 in; Large 6x3 in"
"quickdry-camp-towel","warranty",""
"dry-creek-10l-dry-bag","material","TPU-coated nylon "
"dry-creek-10l-dry-bag","weight","3.4 oz"
"dry-creek-10l-dry-bag","capacity","10L"
"dry-creek-10l-dry-bag","dimensions","15 x 8 in"
"dry-creek-10l-dry-bag","color_options","Blue, blue, ORANGE"
"dry-creek-10l-dry-bag","waterproof_rating","roll-top, taped seams"
"dry-creek-10l-dry-bag","warranty",""
"trailclip-carabiner-keychain","material","anodized aluminum"
"trailclip-carabiner-keychain","weight","1.2 oz"
"trailclip-carabiner-keychain","dimensions","2.6 in x 1.4 in"
"trailclip-carabiner-keychain","color_options","Black, BLUE, blue"
"trailclip-carabiner-keychain","warranty",""
"breeze-buff-neck-gaiter","material","recycled polyester (4-way stretch)"
"breeze-buff-neck-gaiter","weight","1.6 oz"
"breeze-buff-neck-gaiter","dimensions","20 x 10 in"
"breeze-buff-neck-gaiter","UV_protection","UPF 30"
"breeze-buff-neck-gaiter","color_options","Topo Print, Pine Green, Sunrise Stripe"
"breeze-buff-neck-gaiter","warranty",""
